DBN,DISTRICT,SCHOOL,SCHOOL LEVEL*,2010-2011 OVERALL SCORE,PRINCIPAL,2010-2011 OVERALL GRADE,2010-2011 PROGRESS CATEGORY SCORE,PROGRESS REPORT TYPE,2010-2011 PROGRESS GRADE,2010-2011 PERFORMANCE CATEGORY SCORE,PEER INDEX*,2010-2011 PERFORMANCE GRADE,2010-2011 ENVIRONMENT CATEGORY SCORE,2010-2011 ENVIRONMENT GRADE,2010-2011 ADDITIONAL CREDIT,2009-10 PROGRESS REPORT GRADE
15K131,15,P.S. 131 Brooklyn,Elementary,57.3,Ruth Quiles,A ,32.7,EMS,B ,9.4,53.24,C ,10.2,A ,5,A
08X048,8,P.S. 048 Joseph R. Drake,Elementary,57.3,Roxanne Cardona,A ,39,EMS,A ,8,64.11,C ,5.3,C ,5,B
30Q017,30,P.S. 017 Henry David Thoreau,Elementary,57.3,Cynthia Dickman,A ,40.6,EMS,A ,5.8,51.05,C ,5.9,C ,5,C
07X018,7,P.S. 018 John Peter Zenger,Elementary,57.3,Jasmin Varela,A ,41.3,EMS,A ,7.2,64.06,C ,2.3,F ,6.5,C
02M011,2,P.S. 011 William T. Harris,Elementary,57.1,Robert Bender,A ,28.2,EMS,B ,12.6,31.97,B ,11.3,A ,5,A
06M018,6,P.S. 018 Park Terrace,K-8,57.1,Connie Mejia,A ,32.9,EMS,B ,7.9,63.95,C ,11.8,A ,4.5,B
13K056,13,P.S. 056 Lewis H. Latimer,Elementary,57,Deborah Clark-Johnson,A ,34.4,EMS,A ,11.4,60.86,B ,9.2,A ,2,B
30Q084,30,P.S. 084 Steinway,K-8,57,John Buffa,B ,34.2,EMS,A ,7.9,40.37,C ,7.9,B ,7,C
12X211,12,P.S. 211,K-8,57,Betty Gonzalez-Soto,B ,38.6,EMS,A ,6.3,69.73,C ,8.1,B ,4,A
08X075,8,P.S. 075,Elementary,56.9,Marines Arrieta-Cruz,A ,37,EMS,A ,8.7,64.21,C ,5.7,C ,5.5,B
27Q232,27,P.S. 232 Lindenwood,K-8,56.9,Lisa Josephson,B ,28.3,EMS,B ,11.3,31.01,B ,8.8,A ,8.5,A
28Q055,28,P.S. 055 Maure,Elementary,56.8,Ralph K Honore,A ,39.5,EMS,A ,5.7,39.63,D ,4.6,C ,7,C
25Q163,25,P.S. 163 Flushing Heights,Elementary,56.8,Nicole Bullen,A ,34.1,EMS,A ,11.6,32.94,B ,6.6,B ,4.5,B
25Q164,25,P.S. 164 Queens Valley,K-8,56.7,Anne Alfonso,B ,28.9,EMS,B ,12.3,36.78,B ,6.5,B ,9,A
07X043,7,P.S. 043 Jonas Bronck,Elementary,56.7,Giovanna Delucchi,A ,34.4,EMS,A ,9.1,64.58,C ,8.1,B ,5,A
30Q069,30,P.S. 069 Jackson Heights,Elementary,56.7,Martha Vazquez,A ,32.6,EMS,B ,12.1,35.98,B ,8.5,A ,3.5,A
22K198,22,P.S. 198 Brooklyn,Elementary,56.5,Joy-Ann Morgan,B ,38.5,EMS,A ,7,52.51,C ,7,B ,4,C
12X214,12,P.S. 214,K-8,56.5,David Cintron,B ,33.8,EMS,B ,9.8,61.26,C ,8.9,A ,4,B
20K104,20,P.S./I.S. 104 The Fort Hamilton School,K-8,56.5,Ms. Marie Dibella,B ,29.6,EMS,B ,11.3,27.36,B ,8.1,B ,7.5,A
18K276,18,P.S. 276 Louis Marshall,Elementary,56.3,Yasmine Fidelia,B ,37.4,EMS,A ,6.8,55.12,C ,8.1,B ,4,C
25Q154,25,P.S. 154 Queens,Elementary,56.1,Danielle Giunta,B ,34,EMS,A ,11.8,35.32,B ,6.3,B ,4,C
12X212,12,P.S. 212,K-8,56.1,Yohan Lim,B ,37.5,EMS,A ,7.9,64.7,C ,6.2,B ,4.5,C
18K268,18,P.S. 268 Emma Lazarus,Elementary,56,Vangela Kirton,B ,37.1,EMS,A ,6.2,60.53,C ,9.7,A ,3,C
15K015,15,P.S. 015 Patrick F. Daly,Elementary,55.7,Peggy Wyns-Madison,B ,25.3,EMS,B ,12.9,65.63,B ,10,A ,7.5,A
24Q012,24,P.S. 012 James B. Colgate,Elementary,55.6,Patricia Perry,B ,26.9,EMS,B ,13.6,42.72,B ,12.1,A ,3,A
31R053,31,P.S. 053 Bay Terrace,Elementary,55.6,Annette Esposito,B ,31.3,EMS,B ,7.5,17.93,C ,10.3,A ,6.5,B
20K506,20,P.S. 506: The School of Journalism & Technology,Elementary,55.5,Elizabeth Waters,B ,35.5,EMS,A ,5.1,55.76,D ,10.9,A ,4,B
29Q052,29,P.S. 052 Queens,Elementary,55.4,Linda Pough,B ,33.1,EMS,B ,11,56.29,B ,6.3,B ,5,A
20K204,20,P.S. 204 Vince Lombardi,Elementary,55.4,Mrs. Marie Reilly,B ,32.3,EMS,B ,10.8,26.62,B ,10.8,A ,1.5,A
12X067,12,P.S. 067 Mohegan School,Elementary,55.3,Emily Grimball,B ,37.5,EMS,A ,7.8,64.09,C ,4.5,C ,5.5,C
20K127,20,P.S. 127 Mckinley Park,Elementary,55.2,Agatha Alicandro,B ,33.4,EMS,B ,8.1,35.97,C ,6.7,B ,7,D
02M033,2,P.S. 033 Chelsea Prep,Elementary,54.8,Linore Lindy,B ,29.5,EMS,B ,11,46.31,B ,13.3,A ,1,A
15K107,15,P.S. 107 John W. Kimball,Elementary,54.8,Cynthia Holton,B ,30.3,EMS,B ,12.6,16.77,B ,9.4,A ,2.5,A
04M171,4,P.S. 171 Patrick Henry,K-8,54.6,Dimitres Pantelidis,B ,23.5,EMS,C ,13.8,57.56,B ,10.3,A ,7,A
75X010,75,P.S. X010,Elementary,54.5,Barbara Hanson,B ,30.4,D75,B ,13.4,,B ,10.7,A ,0,A
26Q162,26,P.S. 162 John Golden,Elementary,54.5,Joan Casale,B ,28.8,EMS,B ,12.9,17.98,B ,9.8,A ,3,B
28Q121,28,P.S. 121 Queens,Elementary,54.4,Henry Somers,B ,27.8,EMS,B ,12.9,42.26,B ,7.7,B ,6,A
24Q068,24,P.S. 068 Cambridge,Elementary,54.4,Anne Marie Snadecky-Scalfaro,B ,32.9,EMS,B ,9.4,54.78,C ,8.6,A ,3.5,B
17K399,17,P.S. 399 Stanley Eugene Clark,Elementary,54.3,Marion J. Brown,B ,26.1,EMS,B ,15.8,58.55,A ,10.9,A ,1.5,A
11X178,11,P.S. 178 - Dr. Selman Waksman,Elementary,54.3,Evelyn Fulton,B ,39.9,EMS,A ,5,51.82,D ,4.9,C ,4.5,C
26Q094,26,P.S. 094 David D. Porter,Elementary,54.1,Joann Barbeosch,B ,26.1,EMS,B ,13.6,17.09,B ,11.9,A ,2.5,B
75Q009,75,P.S. 009,K-8,53.9,Robert Wojnarowski,A ,32,D75,B ,8.5,,D ,8.9,C ,4.5,B
32K123,32,P.S. 123 Suydam,Elementary,53.9,Veronica Greene,B ,26.7,EMS,B ,11.9,64.61,B ,9.3,A ,6,C
12X129,12,P.S. 129 Twin Parks Upper,Middle,53.7,Yvette Beasley,B ,29.7,EMS,B ,10.3,2.2,B ,7.1,B ,6.5,B
27Q114,27,P.S. / M.S. 114 Belle Harbor,K-8,53.7,Stephen P. Grill,B ,28.6,EMS,B ,12,11.73,B ,8.1,B ,5,B
17K191,17,P.S. 191 Paul Robeson,Elementary,53.7,Mrs. Elsi Capolongo,B ,34.8,EMS,A ,5.6,63.8,D ,7.8,B ,5.5,C
29Q176,29,P.S. 176 Cambria Heights,Elementary,53.6,Arlene Bartlett,B ,26.9,EMS,B ,13.3,55.05,B ,10.9,A ,2.5,C
21K225,21,P.S. K225 - The Eileen E. Zaglin,K-8,53.6,Joseph Montebello,B ,27.9,EMS,B ,7.4,40.72,C ,8.8,A ,9.5,A
02M212,2,P.S. 212 Midtown West,Elementary,53.6,Dean Ketchum,B ,22.9,EMS,C ,14.1,21.28,A ,10.6,A ,6,A
31R032,31,P.S. 032 The Gifford School,Elementary,53.4,Nancy Spataro,B ,35.3,EMS,A ,6.6,17.06,C ,4,C ,7.5,B
21K226,21,P.S. 226 Alfred De B.Mason,K-8,53.4,Sherry Tannenbaum,B ,31,EMS,B ,8.7,42.38,C ,9.2,A ,4.5,A
21K177,21,P.S. 177 The Marlboro,Elementary,53.3,Shoshana Singer,B ,30.7,EMS,B ,11.3,37.6,B ,7.7,B ,3.5,A
02M051,2,P.S. 051 Elias Howe,Elementary,53.3,Nancy Sing Bock,B ,28.9,EMS,B ,10.9,48.03,B ,11,A ,2.5,B
21K329,21,P.S. 329 Surfside,Elementary,53.3,Salema Marbury,B ,30.2,EMS,B ,9.5,58.95,C ,9.6,A ,4,C
29Q136,29,P.S. 136 Roy Wilkins,Elementary,53.2,Tanya S.T. Walker,B ,36.9,EMS,A ,7.3,57.26,C ,3.5,D ,5.5,B
24Q153,24,P.S. 153 Maspeth Elem,Elementary,53.2,Susan Bauer,B ,32.6,EMS,B ,9.9,36.44,C ,6.7,B ,4,A
18K219,18,P.S. 219 Kennedy-King,Elementary,53,Ms. Winsome Smith,B ,34.2,EMS,A ,9,60.32,C ,6.3,B ,3.5,C
11X019,11,P.S. 019 Judith K. Weiss,K-8,53,Timothy P. Sullivan,B ,32.4,EMS,B ,8.1,24.8,C ,7.5,B ,5,C
21K199,21,P.S. 199 Frederick Wachtel,Elementary,52.9,Rosalia Bacarella,B ,34.2,EMS,A ,10.3,36.34,B ,4.4,C ,4,B
